-0.39551,0.77539,0.10779,1.9941,0.15771,0.02063,0.31445,212.5
-2.6035,0.43677,0.88672,-1.252,0.36353,-0.42065,0.19897,-185.75
1.2197,1.2578,-0.93018,-0.33423,0.69385,-1.6025,-0.058319,3.0176
1.833,-1.8076,0.65576,0.76172,0.19482,-1.7109,0.2522,134.38
1.3516,1.6641,1.0625,-1.2715,0.21143,-0.37573,1.293,216.0
1.0732,0.7998,-0.9082,-0.42603,-1.4277,0.45312,0.26099,-38.125
-1.9199,0.89404,-0.48999,-0.15112,-0.74609,0.89697,-2.998,-436.25
-0.31787,1.0713,2.4922,0.24951,0.39917,-0.27515,0.11658,205.88
-1.9209,-1.292,-0.60352,-0.6499,-0.4519,1.5283,0.65576,-156.12
-0.018295,-0.085205,0.029114,0.54883,0.46802,2.0391,0.039154,160.25
1.1309,1.4688,-0.99023,-1.2539,0.48022,0.40771,0.36743,33.531
-1.0928,0.90283,-0.17529,-0.0023079,0.63867,-0.72803,0.85449,35.188
0.16858,0.323,-0.82031,-1.2949,0.43286,0.00060701,1.8574,66.5
1.3145,-1.0264,-1.4072,-0.95605,2.3184,-1.2979,0.71338,43.531
-1.7676,1.1904,-0.35938,-0.84814,-0.28491,-0.12408,0.80664,-117.56
-3.082,0.16504,-0.15344,0.42261,-0.81201,0.4502,-0.61963,-259.25
0.17944,0.12158,0.92383,-0.41138,-0.94287,0.99561,-1.002,-75.375
0.77881,1.6748,-1.1006,-0.61719,-0.55811,0.43945,0.45776,11.594
0.15515,-0.56689,-1.5039,0.13745,-1.6631,1.8086,1.4199,25.938
-0.12769,-0.88086,0.98877,0.032318,-1.1211,1.1416,0.060883,13.227
0.75342,1.2002,-0.57031,0.39404,0.12335,1.5996,0.60303,215.5
-0.53125,-0.29419,1.0986,-0.051697,-0.6875,-2.3711,0.81836,-42.312
0.039703,1.0215,1.1035,0.3606,0.7002,-0.44702,0.34058,186.0
-1.7686,1.6377,-0.038605,-0.41211,-0.75195,-0.68457,-1.0547,-278.0
1.6689,-1.4531,-1.0986,-1.7793,-0.67334,0.054504,-0.39526,-226.5
-0.89551,0.70459,1.1699,-2.0137,0.41138,0.89502,0.62354,-15.398
-0.0089722,-0.2981,-1.0811,-0.94678,0.74951,-0.90186,0.97168,-53.375
0.20789,-1.3633,0.64746,-0.066956,1.1973,-2.3535,1.1855,94.312
0.31885,0.94922,-0.85742,-0.24219,0.30908,-0.34741,-2.1172,-221.75
