0.90625,-0.29053,0.54492,2.5156,-0.42944,-0.61035,0.96094,1.0703,0.075378,395.0
-1.8574,0.31665,-0.26636,-0.62891,-0.75244,0.080017,-0.099121,0.15344,0.71631,-176.5
-1.6416,0.28613,-0.15906,-2.8184,1.4111,-1.7695,-0.024979,-0.45679,-0.53223,-405.5
-0.64111,0.26245,-2.2188,-1.3857,0.38892,-0.61572,-0.54639,-1.6553,-0.87988,-544.0
0.90234,1.0723,-0.27466,0.33472,0.84521,-0.0070305,0.56201,0.26636,-1.168,151.12
-0.19751,-1.0557,1.8311,-1.3125,-0.53076,-2.1562,0.78516,-0.55713,-0.75146,-153.88
-2.5488,1.2109,-0.37061,0.00039911,-1.8604,-0.82568,1.9717,-0.082886,-1.9805,-238.62
0.35596,0.32837,-1.042,-1.1377,-0.59229,-1.4141,1.8086,1.0674,1.5107,-8.625
-0.49683,0.32056,0.11542,-0.39014,1.2178,-0.32593,-0.38208,-1.5879,-0.47583,-175.12
-0.37793,-0.41699,-1.041,0.5835,2.2324,0.15979,-1.415,-0.35254,-0.14355,-75.688
-0.19348,-1.5791,-0.34131,0.28174,0.29517,-1.1807,0.079346,-0.52637,-0.2439,-164.62
0.26074,0.75732,0.93604,-0.54297,1.2559,-1.0986,-1.9492,-0.41504,-0.66797,-62.344
0.12744,1.1543,-0.92139,0.44751,-0.32544,-0.30591,-1.5088,-0.57471,-0.54102,-161.25
-2.1777,-0.90869,1.6846,0.84229,-1.5127,-0.69922,1.3506,-1.3311,0.023193,-107.0
-0.50684,0.7627,1.9453,0.039886,-0.53418,-0.47046,0.12396,-0.10864,1.5342,164.75
0.77344,-0.53223,0.94531,-0.40454,-0.47095,-0.18494,0.025757,0.29419,0.26855,82.812
2.002,0.93945,0.74219,0.45435,0.50439,-1.293,-1.0186,0.12915,0.24255,194.38
-1.2168,-0.31201,-2.1973,0.73682,-0.45654,1.0615,0.43262,0.20471,1.335,-109.25
-0.521,-0.90381,-0.23889,0.0025043,0.56543,0.56738,0.096741,-1.4658,-1.3252,-201.88
1.0312,1.3369,0.22485,-0.098694,0.97461,0.4668,0.19397,1.3457,-0.13354,313.5
