0.054993,1.4873,-0.78418,-0.63525,1.5303,1.1797,-0.27441,2.4941,0.60059,-0.23767,0.90137,302.25
0.61475,-0.23682,-0.51367,0.71338,1.1094,-0.29517,0.79736,-0.1048,0.73242,0.90723,-0.38599,67.938
1.1816,-0.64844,0.082031,0.13269,-0.49487,1.1885,1.3818,-0.9624,-0.55029,-0.017365,-0.58643,-41.5
-0.5293,0.01461,1.0322,1.2568,0.49243,1.8086,0.054565,0.53711,0.64062,-0.01857,0.46582,261.0
0.12305,0.22778,-0.54932,0.646,1.1338,-1.4678,-0.35278,0.3833,1.4521,1.582,-0.33423,99.438
-1.5078,-0.91602,-0.34937,2.2578,0.5083,0.29761,-0.27026,0.34155,-0.5332,-1.1094,0.27197,-95.312
0.87354,-0.20227,0.32935,0.76465,-1.2021,0.85938,-0.68848,0.30298,-1.4004,-0.87207,1.0537,52.219
-1.0137,0.45825,-0.042877,-0.57275,0.51904,0.37085,-0.57129,-2.7148,-1.3018,-0.31836,0.32617,-251.75
0.17639,0.75293,0.14319,-0.87158,-0.1991,1.7207,0.90479,-0.36963,-0.028717,-0.83057,0.69092,94.75
0.37305,1.5117,-0.16016,-0.12903,-0.62939,-1.999,-0.7373,-2.0098,-0.094604,0.36743,0.29663,-170.38
0.13538,1.3184,-1.0049,0.070129,0.95068,2.7578,-1.2295,-0.30835,-2.1719,-0.33691,-0.0057678,-83.812
-0.46826,-1.2627,-1.2051,1.1572,-0.3335,1.4033,-1.5723,0.26953,2.5098,0.62354,-0.09436,156.75
-0.29321,0.75488,0.30811,-0.22339,0.8291,-1.1846,-1.3008,0.85791,-0.73389,-0.70605,2.4414,159.62
2.2129,0.14941,0.37329,0.36426,-0.36011,0.16052,-2.0859,-0.72803,0.0071793,0.44482,-0.82568,17.109
0.97119,-0.55811,-0.2467,1.2158,-1.0078,0.479,-0.57715,-0.20044,0.18164,0.86768,-0.036499,68.625
-1.1934,0.081238,-0.4707,-0.91357,0.4104,-1.001,0.81543,-0.032959,0.88867,-0.22791,1.5391,67.438
-1.0537,-2.6797,-0.89014,1.3564,-0.00040936,-1.7031,-2.6543,-1.0215,0.11914,1.3428,0.28223,-163.0
-0.58643,0.3457,1.5967,-0.19556,1.3174,2.625,-0.60352,-0.74121,0.3125,1.0996,1.4385,383.0
2.1387,0.30371,-1.082,1.5859,0.7124,0.64697,-1.7549,-0.7876,-0.041687,-0.76611,0.45581,39.781
-0.94873,-2.3672,1.7529,0.35376,1.0615,1.3145,0.16333,-0.43335,-0.97949,-1.9346,-0.14941,-58.312
-0.75635,-1.4355,1.8486,-1.8838,0.57959,-0.96094,-0.63721,-1.5039,-0.11102,1.1973,0.77441,53.688
