1.1729,0.31567,-0.9834,-0.47607,9.4219
-0.079163,0.56396,-1.2178,-0.078308,-87.812
0.18433,0.82031,-1.1035,-0.41992,-52.531
-1.8857,0.17041,0.050903,-0.37256,-124.81
-0.37598,0.90674,-0.39917,0.26123,-27.078
0.54639,0.52881,-0.59619,1.1572,13.078
0.53418,-0.40552,-0.22083,-1.7783,-3.7031
0.82959,-0.93994,-0.76904,-0.19385,-38.906
-0.45044,-2.3203,0.625,0.15369,-59.125
0.73584,1.5234,1.667,1.7822,252.25
0.71826,1.5166,0.67432,0.29102,160.62
0.10779,0.15771,1.9941,0.02063,179.0
1.2686,1.9707,0.42603,1.7031,201.62
-0.56494,-0.73438,-0.604,1.2871,-108.94
-0.34131,-2.3926,1.4248,0.26172,13.117
-1.2393,-2.3145,1.3789,-0.72559,-56.312
0.4458,0.99023,0.87598,-1.8008,129.38
-2.0742,1.0713,0.82812,-0.022034,-40.562
-0.95459,-1.0869,-0.86084,0.41553,-174.38
0.5083,0.88379,-0.76025,2.5039,15.789
-2.0469,1.0186,-0.055908,-0.13928,-114.5
-1.9482,-0.13123,-1.5557,-1.1631,-277.25
0.9873,0.46631,-0.23401,-0.075928,65.875
0.8208,0.83203,-1.1855,-0.97412,-16.938
-0.52002,0.87012,-1.4551,0.18848,-126.69
-0.90771,0.90234,0.015617,1.5195,-23.875
-0.15869,-0.36304,-0.40161,-0.52588,-59.812
-0.62109,-1.124,1.457,-1.916,28.859
-2.5684,0.6416,0.0071526,-1.4199,-165.5
0.86035,-1.0176,-0.45898,0.81006,-8.5391
-0.27515,0.67432,-0.49121,-0.32812,-38.625
-0.52393,-1.0088,1.1074,0.12146,20.938
-1.3125,0.92578,1.4316,-1.1865,52.438
0.73096,-0.30566,2.7559,-0.65088,266.75
0.92676,0.25171,0.013657,-0.67578,71.812
-1.9561,-0.22363,-2.0,0.75049,-308.25
-0.0042038,0.20203,0.096008,1.7051,23.297
-0.61035,0.27393,-1.415,-0.47681,-153.75
2.1426,-0.7749,0.23059,1.4395,150.88
0.077393,0.7207,0.64258,0.88916,88.312
-2.0703,0.74268,-0.19995,0.041168,-136.75
-0.94141,-0.18176,-0.034729,-1.5225,-83.312
0.44775,-0.20996,0.65234,-2.0195,68.375
1.1191,-0.012329,0.24329,1.0869,104.25
0.98193,0.79102,-0.14575,-1.1787,78.5
-0.40112,-0.81543,-2.3359,0.8584,-246.38
0.068115,1.8496,0.3396,0.01001,97.0
-1.6504,0.46045,-0.30298,-0.98193,-130.75
0.65039,1.5771,-0.22778,-0.26147,80.125
0.58789,-1.4033,-0.47461,-0.92383,-51.156
-1.1816,0.041656,-0.08667,-0.06604,-89.438
0.7666,1.6211,1.2227,2.5195,224.5
-0.41431,-1.2021,1.0654,-0.52295,15.219
-0.18042,-0.35742,-0.19006,1.373,-33.938
0.9043,-0.5249,0.3623,1.5693,83.688
-1.874,-0.0289,0.49316,2.1973,-81.062
0.26172,-1.1172,1.4512,0.24609,101.75
-0.78223,-1.0742,-0.067261,0.85303,-93.562
-1.2578,-2.2637,0.69141,0.091125,-108.94
-1.5879,0.73584,0.12347,-0.37915,-78.188
0.26831,2.2207,-0.034393,0.56689,95.625
-0.96729,1.5244,0.76123,0.25879,49.062
0.5415,0.20557,0.3855,0.51953,80.0
-0.10864,-0.11743,-0.018341,-0.11609,-13.828
-0.81787,-0.4834,0.56592,0.1405,-26.609
1.3232,0.11731,-1.0459,-0.25366,9.0859
-0.91943,0.47363,-1.0625,1.5498,-129.0
0.94141,-0.77686,-0.13367,0.076538,28.859
1.2275,0.37402,-1.9941,-1.21,-72.438
0.53613,0.7207,0.57715,1.0254,115.94
-0.34839,0.055237,1.1689,0.19238,75.5
