-0.49097,0.28735,1.2139,0.73145,0.93408,2.0195,-1.4795,0.51709,0.033661,-0.026062,-0.42065,-1.584,0.28564,0.89062,321.25
-0.99512,-0.8877,-0.75684,0.2218,0.18188,-1.4404,0.26538,0.61621,-0.29053,0.27808,-0.89307,1.2549,2.3086,0.062225,25.172
-1.1221,-0.31421,-1.2168,0.74463,1.1934,-0.74316,-0.45483,0.38403,-0.57471,-1.0342,-0.45728,-1.2754,-0.18909,0.23181,-55.062
-0.067993,0.11896,-0.14551,1.6621,0.85156,1.1143,-1.0879,0.60938,-1.5635,-0.58643,-0.15503,0.17285,-1.7168,-0.1637,96.312
-0.37476,0.53516,0.097595,-0.90283,-1.5693,1.125,0.3667,1.54,0.76465,-1.9629,-0.67627,0.70605,1.2314,-2.5176,89.375
0.729,-1.0088,-0.66748,0.36426,-1.4561,-0.2561,-0.075378,-0.84717,0.68115,0.65723,-1.4443,0.75293,1.1455,-0.28125,-85.375
0.59131,0.9541,-0.68262,0.32837,0.25586,0.37329,-2.3047,0.83252,-0.93115,1.1143,0.56055,-0.66797,0.177,0.56396,73.938
-0.37378,0.88721,0.0022621,-1.0176,1.0186,0.76318,0.25635,0.5293,-0.74365,-0.68213,-0.6333,0.38721,3.0508,-1.8555,259.25
1.8721,-0.86865,0.24377,-0.2052,-0.29565,-0.26611,0.27808,1.1895,1.9346,-1.334,0.7124,1.8057,-0.013618,-0.9668,95.562
0.37402,0.14954,-0.17688,1.5811,0.47583,0.3186,-0.69531,-0.38721,-0.1344,-0.084717,1.166,0.28174,-0.63428,0.13843,89.75
2.1719,0.96094,-0.7373,-0.21497,-1.0293,0.84717,-0.56396,0.053589,0.29297,-0.64355,1.7559,0.35498,0.28687,-0.014008,90.25
1.0312,-0.30103,-1.4785,-0.71973,-0.46069,0.93115,0.61182,1.0566,-0.67676,-0.11566,0.32397,-1.7627,0.34351,-0.38501,58.125
0.68213,-0.67822,1.7676,-1.7842,-1.5068,0.030609,-0.58984,-0.45435,-0.22034,1.1035,-0.53467,-0.28882,-0.33447,-0.72559,-292.75
1.5781,-0.84668,-0.7583,-1.8545,0.21997,-1.9258,1.1904,0.7002,0.84668,-0.49609,0.46509,0.36499,0.069702,0.42529,-159.0
-0.054352,-0.96875,-0.69922,0.21924,0.59473,1.5107,-0.61768,-0.32544,0.61914,0.20459,0.37646,-0.39404,-0.21265,0.0038528,111.94
0.49561,-0.28076,-0.85254,0.24841,1.9121,-0.75586,0.9126,1.5176,-1.5615,-0.63037,-0.72852,0.7793,0.2439,1.4639,203.5
1.3887,-0.73828,-0.097595,0.38232,0.43823,0.79102,-1.0938,-0.15771,0.37695,-1.5479,0.58594,-1.0059,-0.92822,-0.12732,0.10803
1.1816,-0.11548,0.067993,1.291,1.0576,0.46777,0.71143,0.71289,1.7842,0.39111,1.0732,-0.31641,0.25195,-0.91064,353.75
0.36548,0.99854,0.35791,-0.78662,0.023651,-1.207,-0.11285,-1.1348,-0.82471,0.10675,0.92822,-0.83789,0.18359,-0.51025,-233.38
0.89697,0.013992,2.1562,0.1015,0.47852,-1.1553,0.31836,-0.16785,0.38428,-0.54736,-0.54346,-0.63623,-1.7588,0.58008,-115.12
-1.3535,0.43408,0.95264,0.027695,0.80029,0.23132,-0.13977,0.37036,0.45996,-0.11816,-0.49854,0.7002,1.4189,1.4043,252.88
0.85596,-1.3271,-0.31567,-0.52881,-0.030899,0.78564,0.49805,-0.32153,0.80518,0.30981,-1.083,-0.22839,-0.61719,0.59521,8.8906
0.85449,-1.0557,-0.039856,-0.59229,0.771,0.90283,-1.0928,0.67285,-0.72803,-0.34937,0.63867,-0.0023079,-0.92285,-0.17529,-10.664
0.0084915,-0.31641,1.0088,0.3125,0.81152,0.62207,0.62451,0.33936,-0.17053,0.68457,-1.1455,-1.3096,-0.27466,-0.63379,130.12
