1.3174,-1.3555,-0.24011,0.63623,0.75684,0.74658,-2.043,-0.8501,-0.096008,-0.10156,-0.9624,0.19958,-0.59521,1.5479,-0.61914,-97.312
0.28979,-1.1475,0.19592,-0.39575,-0.065369,-0.61328,-0.18958,1.0049,-3.0293,3.125,1.0605,0.11145,-1.8818,0.39453,-0.60889,178.62
-1.0029,0.45532,0.73486,0.13257,-0.73535,-0.83008,0.47339,-0.5249,0.40552,-0.71387,0.26245,-0.24268,-0.42212,-2.0898,-1.3555,-292.75
1.2168,0.97217,0.84326,-0.8125,-0.95312,-0.30518,1.4697,0.84033,-0.30176,0.89258,0.20862,0.20728,-0.73145,1.8467,-0.177,336.5
0.41406,-1.4961,0.058685,-0.36353,1.752,0.91064,0.59619,0.76953,-0.097351,-0.34546,-1.0166,0.9873,-3.4941,1.4756,0.4834,387.5
1.0361,1.334,0.21814,-0.86865,2.1738,-0.98438,-0.15063,1.2363,0.85742,0.36865,1.6445,0.23755,0.042969,0.47119,0.65283,350.25
-0.19836,-1.1484,0.19788,-0.64404,1.3418,0.00011092,-1.0918,0.76709,-0.23352,0.14026,-0.50293,1.085,0.42676,-0.86572,-0.22937,28.922
-1.1719,0.50977,0.49756,-0.49072,-0.38794,0.83936,-2.1113,-0.074463,0.5166,0.1394,-0.8208,-0.73779,2.166,-0.16663,0.75049,-162.12
0.71338,-0.88232,-1.3818,-2.0352,-0.91211,-0.43701,1.9756,0.25122,0.17859,1.1592,-0.34692,0.75781,-0.53174,2.0605,-0.19861,110.5
1.5527,-0.10052,-0.27246,1.1953,-0.15454,-0.010963,0.90381,-0.84033,0.44458,0.91846,0.49365,-0.0036888,0.45044,0.73828,0.45728,168.12
0.94189,-0.80762,-0.9375,-0.40503,-0.34937,1.9385,1.1709,-2.1855,-1.2627,-1.4141,-1.0527,-0.67285,-0.60645,0.3186,-0.78174,-289.75
-2.1562,-0.25806,-0.55176,1.1641,-1.0703,0.68506,0.5415,0.37305,-0.31689,-2.5,2.7617,-1.8145,-0.47705,0.32593,0.34302,-153.38
-1.7236,-0.71631,-1.5693,-0.47144,0.67871,-0.34253,0.21448,0.95703,0.078186,0.18884,-1.0771,0.99365,-1.3906,-1.0137,0.57812,-30.422
1.6699,0.39575,-1.0654,0.33374,0.55469,0.70361,0.3396,-0.57959,1.8066,0.73633,-0.61865,0.69775,-0.51807,-1.0176,-1.624,-108.19
-0.30371,1.8467,-0.52246,0.037811,-1.7324,1.2715,0.68555,0.46118,-0.21094,-0.43115,0.019775,0.012985,0.80615,0.54102,-1.333,-103.62
