1.1992,0.041718,-1.0518,-0.28613,-0.78076,-0.061127,-0.07489,-0.71973,-0.61279,-0.76709,1.0498,0.85596,0.80518,-46.938
-0.97705,-0.19104,-0.2749,1.8643,-0.84033,0.84717,-1.1934,-0.70117,-2.0059,1.4912,-0.74512,-1.4385,1.1074,-240.12
-0.25854,0.6001,0.40112,-0.62598,-0.38452,0.99902,0.41968,1.2246,1.9385,0.063354,-0.1825,-1.3486,0.62793,138.25
-0.49146,0.28638,-1.5293,-0.90039,0.18091,-0.62695,0.93896,-0.41333,-0.1886,0.019547,-1.4941,-1.7676,0.26904,-282.5
0.52979,0.071533,0.35913,0.85449,0.023468,0.52979,-1.125,0.77246,-1.1572,0.080078,0.42188,0.021332,-1.0527,-7.2617
-0.62842,-0.44189,-1.1084,0.32007,1.3994,-0.27759,1.7051,-1.4072,0.1109,-0.20349,0.97607,-1.0361,1.7686,-6.0547
0.068054,-1.415,0.98779,1.5889,-0.96387,0.17505,-0.40308,-0.65137,0.41064,-0.098389,-1.0371,0.6748,0.95361,-40.094
0.85889,-0.22144,1.7969,-0.81592,0.54443,0.54297,1.6016,-0.84912,-0.8042,-0.24414,-2.0215,-0.6582,-1.4893,96.812
-1.5342,1.2578,0.32373,1.7021,0.81006,0.028732,2.3359,0.13477,1.1914,1.5303,2.0527,-0.9165,0.67871,387.25
-0.46338,-1.1328,0.56543,2.8594,-0.7749,0.75342,-0.12549,1.6396,1.252,-2.2246,1.5771,-0.3667,-0.42749,-191.12
1.3604,-0.43506,1.793,1.332,-0.1897,0.064148,-0.84766,-0.64941,0.43872,0.97412,-0.31494,-0.82666,0.031128,144.38
0.69824,-0.92236,-0.76855,2.8086,1.0449,-1.4277,-1.5439,0.59521,0.67578,-0.55518,-0.43799,0.81445,0.7627,-9.8672
-0.65674,0.67822,0.47583,0.37207,-0.013229,-0.85645,0.11475,0.79395,-0.78223,-1.1543,-0.53369,-1.2441,0.35645,-96.125
-0.53369,-0.70801,1.8672,0.32861,1.3779,0.58496,1.1738,2.3066,-1.3604,-0.63086,-0.63525,0.64014,0.64258,450.25
-0.36646,-0.73193,-1.4609,-0.99463,-0.37793,0.35083,-2.1523,-0.00035238,-0.55762,0.21106,-1.4307,0.32056,0.53223,-333.5
0.52148,-0.62354,-0.32764,-1.1484,0.21814,-1.3975,-0.29224,-0.90625,0.88135,-0.49023,1.3936,-0.050842,-0.93213,-222.12
0.2981,-0.070557,-1.3701,0.24255,0.4126,-0.33521,1.4287,0.53418,1.1807,-1.5088,0.18884,0.30713,-1.125,-114.94
-0.39478,-1.2646,-0.25171,-2.4844,-0.75244,1.3672,-0.28638,-0.11151,-1.3564,-0.51318,1.2158,-0.18372,0.48535,-238.12
-0.79492,-1.8408,0.47583,0.32739,-0.22986,-1.002,0.03833,-0.75928,1.8242,0.33496,-0.87939,0.33032,0.86523,-124.56
-0.065552,-1.9922,-0.51172,0.080139,1.415,-0.56836,1.3828,1.0391,-0.28809,2.6641,1.5459,-0.28735,-0.50586,169.75
0.40747,0.098999,-0.25879,-0.15283,-1.0605,-1.7881,-1.4785,0.36206,-1.4082,-0.78174,0.7251,0.071106,-0.50879,-307.25
-1.0576,1.2764,0.98975,1.5068,0.60254,-1.4121,0.48853,-1.6113,0.65332,-0.069458,-0.26489,0.53174,1.1768,209.12
0.5332,-0.7749,1.4209,-0.074585,1.7314,0.47412,2.834,-0.60596,-1.1953,-0.51416,-0.65625,-0.71777,1.6465,408.75
